"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"	"last.observed"
21	"Bulgaria"	100	60.31	64.63	68.31	68.9	68.85	68.62	68.48	68.28	67.74	67.42	68.71	69.48	70.28	71.07	71.79	72.58	73.4	74.15	74.87	75.55	76.19	76.8	77.38	77.95	78.5	79.03	79.55	80.07	80.56	81.04	"2008"
22	"Cambodia"	116	38.1	40	42	44	39	30	46.66	52.65	54.15	55.49	57.74	60.21	62.16	64.11	65.93	67.5	68.86	70.05	71.13	72.09	73.02	73.91	74.67	75.38	76.06	76.72	77.35	77.97	78.54	79.06	"2008"
23	"Canada"	124	66.64	67.65	68.43	68.94	69.56	70.65	72.32	73.45	74.58	75.64	77.15	78.17	78.85	79.45	80.02	80.58	81.14	81.68	82.21	82.74	83.26	83.78	84.29	84.8	85.3	85.81	86.31	86.81	87.3	87.8	"2008"
24	"Cape Verde"	132	46.92	47.57	48.16	49.07	53.74	57.65	60.67	62.67	63.28	64.67	66.79	69.07	71.15	73.06	74.44	75.63	76.66	77.61	78.5	79.39	80.24	80.99	81.86	82.57	83.39	84.15	84.83	85.55	86.32	87.09	"2008"
25	"Channel Islands"	830	66.63	67.63	67.92	68.48	68.93	69.77	71.03	72.06	73.33	74.45	75.96	77.32	78.03	78.65	79.26	79.85	80.42	80.99	81.55	82.11	82.65	83.2	83.75	84.29	84.83	85.38	85.92	86.47	87.02	87.57	"2008"
26	"Chile"	152	52.91	53.81	55.27	57.64	60.46	63.94	67.38	69.59	71.45	72.75	74.8	75.49	76.12	76.68	77.19	77.64	78.04	78.4	78.72	79	79	79	79	79	79	79	79	79	79	79	"2008"
27	"China"	156	44.6	44.45	41.97	59.19	63.03	64.76	66.2	67.4	68.43	69.31	72.17	73.19	74.1	74.2	74.3	74.58	75.31	75.97	76.63	77.25	77.84	78.4	78.94	79.48	79.99	80.5	80.98	81.47	81.94	82.41	"2008"
28	"China, Hong Kong SAR"	344	58.99	61.85	64.86	67.04	68.99	70.76	72.37	73.87	75.27	76.58	78.47	79.36	80.07	81.07	82.03	82.95	83.85	84.72	85.57	86.39	87.19	87.98	88.74	89.48	90.21	90.92	91.62	92.3	92.96	93.61	"2008"
29	"China, Macao SAR"	446	59.4	61.83	64.1	66.12	67.94	69.58	71.06	72.4	73.64	74.78	75.83	76.82	79.09	79.67	80.23	80.79	81.33	81.87	82.41	82.93	83.45	83.98	84.49	85	85.52	86.01	86.53	87.03	87.55	88.05	"2008"
30	"Colombia"	170	48.98	53.48	56.23	58.33	59.7	61.76	63.62	64.45	64.53	66.53	68.03	69.23	70.43	71.43	72.43	73.43	74.23	75.03	75.53	76.03	76.03	76.03	76.03	76.03	76.03	76.03	76.03	76.03	76.03	76.03	"2008"
