"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
205	"Ecuador"	218	49.61	52.69	56.05	58.21	60.46	63.22	66.65	69.9	72.66	75.15	77.25	78.06	78.91	79.65	80.35	80.97	81.58	82.16	82.71	83.24	83.76	84.26	84.74	85.21	85.68	86.13	86.58	87.01	87.45	87.87
206	"French Guiana"	254	56.9	59.85	63.2	67.95	69.5	70.46	73	74.5	76	77.5	79.11	79.89	80.54	81.01	81.47	81.98	82.54	83.08	83.6	84.11	84.6	85.07	85.54	86	86.45	86.89	87.33	87.76	88.18	88.6
207	"Guyana"	328	52.01	54.13	55.63	56.42	58.58	60.25	62.47	63.79	64.86	66.58	69.06	71.93	73.45	74.9	76.31	77.2	77.95	78.66	79.35	80.07	80.79	81.51	82.07	82.59	83.11	83.64	84.13	84.66	85.17	85.67
208	"Paraguay"	600	64.56	65.12	66.28	66.93	68.04	68.66	69.26	69.85	70.76	71.69	72.89	73.9	74.91	75.75	76.48	77.19	77.82	78.42	78.99	79.54	80.17	80.83	81.45	82.02	82.57	83.13	83.64	84.14	84.62	85.09
209	"Peru"	604	45.08	47.58	50.57	52.91	57.18	60.43	63.7	66.73	69.18	71.84	74.3	75.9	76.9	77.84	78.64	79.39	80.11	80.76	81.38	81.97	82.53	83.05	83.57	84.07	84.56	85.04	85.51	85.96	86.41	86.86
210	"Suriname"	740	57.67	60.47	62.47	64.47	66.47	67.66	69.78	70.69	71.1	71.4	71.71	73.11	74.18	75.06	75.86	76.59	77.21	77.85	78.49	79.08	79.69	80.3	80.93	81.56	82.14	82.7	83.23	83.77	84.25	84.72
211	"Uruguay"	858	69.31	70.32	71.49	71.77	72.05	73.07	74.5	75.73	76.84	77.89	78.93	79.85	80.66	81.41	82.1	82.73	83.37	83.93	84.4	84.88	85.35	85.82	86.26	86.71	87.15	87.58	88	88.43	88.84	89.26
212	"Venezuela (Bolivarian Republic of)"	862	55.77	58.68	61.74	64.9	67.71	70.35	72.04	73.48	74.46	75.14	75.77	76.78	77.73	78.57	79.35	80.04	80.69	81.31	81.9	82.46	83.01	83.52	84.03	84.52	85	85.48	85.92	86.39	86.83	87.26
213	"Northern America"	905	71.67434102	73.00748568	73.68253273	74.28278277	75.32213179	77.1301421	78.05587455	78.50686995	79.19682143	79.53181501	79.99416468	80.73234344	81.52294036	82.20757018	82.86222131	83.48452218	84.09037206	84.6659599	85.24265612	85.79041076	86.33581635	86.87237394	87.39966302	87.92609659	88.4332514	88.94996838	89.45721349	89.95556202	90.45427136	90.95137329
214	"Canada"	124	71.48	73.21	74.53	75.6	76.64	77.96	79.28	80.05	80.81	81.27	82.11	82.81	83.49	84.09	84.68	85.24	85.8	86.34	86.88	87.41	87.93	88.45	88.96	89.47	89.97	90.47	90.97	91.46	91.96	92.45
