"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"
62	"Mali"	466	36.03	36.5	36.97	37.57	38.51	39.76	41.23	42.83	44.05	45.41	47.08	48.97
63	"Mauritania"	478	42.75	44.56	46.33	48.04	49.9	52.71	55.51	56.93	57.75	58.28	58.42	58.53
64	"Niger"	562	37.22	37.43	37.68	37.96	38.42	39.11	40	41.16	42.85	45.3	48.83	52.01
65	"Nigeria"	566	37.43	38.64	39.93	41.12	42.69	45.59	46.33	46.01	45.47	45.92	47.25	48.31
66	"Senegal"	686	39.19	40.56	41.66	42.8	44.54	47.09	49.94	52.45	54.04	55.03	56	56.96
67	"Sierra Leone"	694	34.21	34.94	35.71	36.86	38.63	42.21	43.8	43.22	40.4	41.09	46.08	48.68
68	"Togo"	768	42.63	45.17	47.28	49.59	52.35	55.29	57.77	59.31	60.4	61.56	62.36	64.18
69	"ASIA"	935	41.93	45.19	48.62	54.23	57.24	59.92	62.01	63.96	65.68	67.51	69.35	70.77
70	"Eastern Asia"	906	44.61	48.5	52.5	61.61	65.11	67.61	68.99	70.36	71.88	73.58	75.3	76.28
71	"China"	156	42.3	46.2	50.4	60.4	63.9	66.27	67.56	68.83	70.29	72	73.7	74.75
72	"China, Hong Kong SAR"	344	64.91	68.5	71.3	73.5	75.6	76.8	78.3	79.87	81	82.96	84.49	85.13
73	"China, Macao SAR"	446	56.5	59.5	63.5	67.5	69	72	76.5	78.5	79.8	80.9	81.48	82.81
74	"Dem. People's Republic of Korea"	408	51.5	55.5	58.1	61.7	66.4	69.9	71.8	73.3	73.56	71	68.75	69.26
75	"Japan"	392	63.91	68.44	71.45	73.9	75.75	77.85	79.62	81.33	82.51	83.91	85.71	86.17
76	"Mongolia"	496	43.5	46.5	49.5	52.5	55	57	59	62	63.2	66.29	67.74	69.79
77	"Republic of Korea"	410	49.88	54.15	56.82	59.25	63.67	68.69	71	73.86	76.64	78.22	80.85	82.52
78	"South-Central Asia"	921	38.39	41.16	44.15	47.36	50.31	53.71	56.04	57.95	59.79	61.7	63.68	65.48
79	"Afghanistan"	4	28.44	29.99	31.7	33.76	35.85	38.23	39.69	40.66	41.69	41.75	42.06	43.8
80	"Bangladesh"	50	36.7	38.7	40.7	43.4	45.13	46.75	50.16	53.17	56.5	60.37	63.93	67
81	"Bhutan"	64	36.27	36.93	38.22	40.14	42.68	45.77	49.21	52.34	56.25	60.75	65.24	67.74
82	"India"	356	37.14	39.99	43.16	46.52	49.8	53.77	55.98	57.64	59.36	61.34	63.25	65.04
