"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"
76	"Mongolia"	496	41	44	47	50	52.5	54	56	58.5	59.4	61.1	61.72	63.21
77	"Republic of Korea"	410	46.04	51.05	53.54	55.88	58.22	60.73	62.74	65.72	68.68	70.54	73.85	75.91
78	"South-Central Asia"	921	39.73	42.52	45.3	48.21	50.78	53.48	55.51	57.31	58.35	59.76	61.27	62.62
79	"Afghanistan"	4	29.15	30.66	32.28	34.27	36.32	38.65	40.03	41	41.69	41.78	42.2	43.86
80	"Bangladesh"	50	38.3	40	41.7	43.5	44.19	45.7	48.87	51.86	55	58.7	62.06	64.96
81	"Bhutan"	64	35.95	36.33	37.3	38.91	41.09	43.81	46.77	49.38	53.03	57.27	61.83	64.07
82	"India"	356	38.7	41.74	44.83	48	50.99	54.09	56.05	57.55	58.34	59.69	60.91	62.09
83	"Iran (Islamic Republic of)"	364	44.88	47.21	49.33	52.55	55.35	57.45	58.8	62.16	64.74	66.88	68.7	70
84	"Kazakhstan"	398	50.15	52.19	54.22	56.26	57.79	58.83	60.41	62.35	60.53	57.46	59.07	58.97
85	"Kyrgyzstan"	417	48.75	50.89	53.04	55.18	56.82	57.96	59.61	61.97	62.09	61.96	62.68	64.05
